;26/10/2020;27/10/2020;28/10/2020;29/10/2020;30/10/2020;31/10/2020;01/11/2020
6:00 - 7:00;0;0;0;0;1;0;0
7:00 - 8:00;9;5;8;3;3;4;2
8:00 - 9:00;4;8;15;10;10;5;7
9:00 - 10:00;15;5;7;14;15;12;15
10:00 - 11:00;8;8;12;5;14;17;16
11:00 - 12:00;12;16;13;14;10;16;21
12:00 - 13:00;15;13;20;11;17;21;7
13:00 - 14:00;6;4;12;9;12;11;14
14:00 - 15:00;17;12;12;14;9;14;15
15:00 - 16:00;12;13;14;10;15;7;14
16:00 - 17:00;16;17;17;21;18;20;17
17:00 - 18:00;24;21;22;20;23;8;22
18:00 - 19:00;23;18;30;19;13;9;25
19:00 - 20:00;20;26;18;11;15;7;9
20:00 - 21:00;17;9;10;13;8;11;14
21:00 - 22:00;4;1;3;0;5;3;1
